ID,Class
sample_0,A
sample_1,A
sample_2,A
sample_3,A
sample_4,A
sample_5,A
sample_6,A
sample_7,A
sample_8,A
sample_9,A
sample_10,A
sample_11,A
sample_12,A
sample_13,A
sample_14,A
sample_15,A
sample_16,A
sample_17,A
sample_18,A
sample_19,A
sample_20,A
sample_21,A
sample_22,A
sample_23,A
sample_24,A
sample_25,A
sample_26,A
sample_27,A
sample_28,A
sample_29,A
sample_30,A
sample_31,A
sample_32,A
sample_33,A
sample_34,A
sample_35,A
sample_36,A
sample_37,A
sample_38,A
sample_39,A
sample_40,A
sample_41,A
sample_42,A
sample_43,A
sample_44,A
sample_45,A
sample_46,A
sample_47,A
sample_48,A
sample_49,A
sample_50,A
sample_51,A
sample_52,A
sample_53,A
sample_54,A
sample_55,A
sample_56,A
sample_57,A
sample_58,A
sample_59,A
sample_60,A
sample_61,A
sample_62,A
sample_63,A
sample_64,A
sample_65,A
sample_66,A
sample_67,A
sample_68,A
sample_69,A
sample_70,A
sample_71,A
sample_72,A
sample_73,A
sample_74,A
sample_75,A
sample_76,A
sample_77,A
sample_78,A
sample_79,A
sample_80,A
sample_81,A
sample_82,A
sample_83,A
sample_84,A
sample_85,A
sample_86,A
sample_87,A
sample_88,A
sample_89,A
sample_90,A
sample_91,A
sample_92,A
sample_93,A
sample_94,A
sample_95,A
sample_96,A
sample_97,A
sample_98,A
sample_99,A
sample_100,B
sample_101,B
sample_102,B
sample_103,B
sample_104,B
sample_105,B
sample_106,B
sample_107,B
sample_108,B
sample_109,B
sample_110,B
sample_111,B
sample_112,B
sample_113,B
sample_114,B
sample_115,B
sample_116,B
sample_117,B
sample_118,B
sample_119,B
sample_120,B
sample_121,B
sample_122,B
sample_123,B
sample_124,B
sample_125,B
sample_126,B
sample_127,B
sample_128,B
sample_129,B
sample_130,B
sample_131,B
sample_132,B
sample_133,B
sample_134,B
sample_135,B
sample_136,B
sample_137,B
sample_138,B
sample_139,B
sample_140,B
sample_141,B
sample_142,B
